IAUNAME,PID,AID
J114622.90+134937.0,156,0
J115315.89+113810.9,145,0
J121546.99+104137.0,15,4
J122722.09+105154.0,148,1
J230253.49+260051.0,164,0
J001905.80+263728.0,141,0
J002812.89+261236.0,181,0
J025609.20+274210.9,134,0
J114609.20+125230.0,100,0
J114440.59+144550.9,226,0
J115704.89+090552.0,131,0
J121134.79+141448.9,149,0
J124909.89+122925.9,169,0
J135002.79+155404.9,116,0
J134044.99+075905.0,165,0
J131941.39+154516.9,172,0
J135019.40+140822.9,163,0
J225825.10+260148.9,242,0
J225859.89+272150.0,267,0
J231609.79+260048.9,176,0
J232436.39+275615.0,161,0
